상표명,세균제위험,곰팡이제위험,계열
BK보르도606(보르도액),🔴,🔴,보르도·동제(구리)
S석회유황합제(석회유황합제),🟡,🔴,석회유황합제
가비온보르도(보르도액),🔴,🔴,보르도·동제(구리)
건도 칼-에스(석회유황합제),🟡,🔴,석회유황합제
건도보르도(석회보르도액),🔴,🔴,보르도·동제(구리)
골드동(구리염),🔴,🔴,보르도·동제(구리)
골드보르도808(석회보르도액),🔴,🔴,보르도·동제(구리)
대유그린볼도액(보르도액),🔴,🔴,보르도·동제(구리)
대유코프로싹에스(구리염+황),🔴,🔴,보르도·동제(구리)
미네콤21(석회유황합제),🟡,🔴,석회유황합제
바이도문(석회보르도액),🔴,🔴,보르도·동제(구리)
보가닉(구리염+파라핀오일),🔴,🔴,보르도·동제(구리)
보르도스타(보르도액),🔴,🔴,보르도·동제(구리)
보르도칼(보르도액),🔴,🔴,보르도·동제(구리)
상록-606(석회보르도액),🔴,🔴,보르도·동제(구리)
세고밀(구리염),🔴,🔴,보르도·동제(구리)
아리석회황(석회유황합제),🟡,🔴,석회유황합제
아이씨보르도-412(보르도액),🔴,🔴,보르도·동제(구리)
아이씨보르도-66디(보르도액),🔴,🔴,보르도·동제(구리)
올킬황과동(광물질가루+구리염+황),🔴,🔴,보르도·동제(구리)
우롱싹(구리염),🔴,🔴,보르도·동제(구리)
유일보르도동(보르도액),🔴,🔴,보르도·동제(구리)
융전이유(EU)보르도(보르도액),🔴,🔴,보르도·동제(구리)
중앙보르도액153(보르도액),🔴,🔴,보르도·동제(구리)
칼황(석회유황합제),🟡,🔴,석회유황합제
쿠퍼플러스(수산화동),🔴,🔴,보르도·동제(구리)
클린존(구리염+소석회+황),🔴,🔴,보르도·동제(구리)
토생우팽(구리염),🔴,🔴,보르도·동제(구리)
토양엔황금동(구리염+벤토나이트+황),🔴,🔴,보르도·동제(구리)
투보르-탄(보르도액),🔴,🔴,보르도·동제(구리)
팜볼드(미생물+수산화동),🔴,🔴,보르도·동제(구리)
팜한농보르도골드(보르도액),🔴,🔴,보르도·동제(구리)
펜큐브레(석회보르도액),🔴,🔴,보르도·동제(구리)
황유(석회유황합제),🟡,🔴,석회유황합제
흰갈탄(구리염+파라핀오일),🔴,🔴,보르도·동제(구리)
가루짱(중탄산나트륨),🟢,🟡,중탄산(중조)
구양근(목초액+천연산+키토산),🟡,🟡,목초·산성
귀티나황(황),🟡,🟡,무기황
규산황골드(규산나트륨+황),🟡,🟡,무기황
규산황액제(규산나트륨+황),🟡,🟡,무기황
균격파(목초액+식물추출물),🟡,🟡,목초·산성
균박사(황),🟡,🟡,무기황
균킬(황),🟡,🟡,무기황
균황(황),🟡,🟡,무기황
노약해(황),🟡,🟡,무기황
논에퐁 에코(규산나트륨+중탄산칼륨),🟢,🟡,중탄산(중조)
다싹(황),🟡,🟡,무기황
다쓰리(생석회+식물추출물+황),🟡,🟡,무기황
다자비(규산나트륨+황),🟡,🟡,무기황
다풍년 균팡이제로(해수+황),🟡,🟡,무기황
닥터황(황),🟡,🟡,무기황
대경황 플러스(규산나트륨+황),🟡,🟡,무기황
대박상자(님추출물+목초액),🟡,🟡,목초·산성
대유갈리신(목초액+식물추출물),🟡,🟡,목초·산성
대유아인황 입제(규조토+황),🟡,🟡,무기황
대유올에스킬(황),🟡,🟡,무기황
대유충사탄 직접살포액(목초액+식물추출물+제충국추출물),🟡,🟡,목초·산성
대유충사탄(목초액+식물추출물+제충국추출물),🟡,🟡,목초·산성
