번호,공시번호,상표명(자재명),자재구분,사업자,사업자번호,유효기간,공시기관,주의사항,등재일자,가격,기타사항,미생물 학명,농약/비료등록여부,연락처(사업장),효능효과 표시여부,효능효과 표시구분,효능효과 세부내용,제조장주소
3,공시-3-3-136,흙살림골드(미생물+점토광물+쌀겨),토양개량 및 작물생육용,농업회사법인 흙살림바이오(주),303-81-24778,2025.02.10 ~ 2028.07.09,국립순천대학교 산학협력단,○ 직사광선을 피하여 건조하고 서늘한 곳에 보관하고 흔들어서 사용하시오,2007.07.31,"15,000원/2kg",Bacillus subtilis 1X10^6 CFU/g,Bacillus subtilis,X,043-215-8179,미표시,없음,,충청북도 괴산군 불정면 한불로 1136
6,공시-3-4-006,재노탄(규산염+미생물),병해관리용,㈜한국바이오케미칼,608-81-39104,2023.11.07 ~ 2026.11.06,국립순천대학교 산학협력단,"○ 뿌릴 때에는 마스크, 고무장갑, 방제복, 보안경을 착용하고 바람을 등지고 뿌리시고, 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오 ○ 병뚜껑을 열때 신체에 내용물이 묻지 않도록 주의하십시오 ○ 사용 후 잘 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오",2007.10.11,"25,000원/500g","대표성분-Bacillus subtilis 1.0*10^5 cfu/g이상, 규산",Bacillus subtilis,제36-살균-1호,055-763-0241,미표시,농약등록,,경상남도 진주시 문산읍 월아산로950번길 14-20
7,공시-3-4-060(공시-1-4-013),오가닉탑시드(미생물),병해관리용,주식회사 지비텍,660-88-03132,2023.10.10 ~ 2026.10.09,국립순천대학교 산학협력단,"○ 햇빛이 강할 때 또는 기온이 높을 때를 피하여 아침, 저녁등 서늘할 때 살포하십시오 ○ 천연보호제는 보관중 미생물균체의 침전현상으로 충분리가 생기므로 사용전 반드시 흔들어서 사용하십시오 ○ 사용하고 남은제품은 잘 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관 ○ 잘못하여 섭취하였을 경우 억지로 구토시키지 말고 즉시 의사의 치료를 받으십시오",2007.10.10,"20,000원/1L",Paenibacillus polymyxa 5.0 x 10^6 CFU/mL 이상,Paenibacillus polymyxa,X,031-882-4541,미표시,없음,,경기도 여주시 북내면 여양3로 77-20
8,공시-3-4-061(공시-1-4-014),오가닉씰러스(미생물),병해관리용,주식회사 지비텍,660-88-03132,2023.10.10 ~ 2026.10.09,국립순천대학교 산학협력단,"○ 햇빛이 강할 때 또는 기온이 높을 때를 피하여 아침, 저녁등 서늘할 때 살포하십시오 ○ 천연보호제는 보관중 미생물균체의 침전현상으로 충분리가 생기므로 사용전 반드시 흔들어서 사용하십시오 ○ 사용하고 남은제품은 잘 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관 ○ 잘못하여 섭취하였을 경우 억지로 구토시키지 말고 즉시 의사의 치료를 받으십시오",2007.10.10,"20,000원/1L",Bacillus subtilis 1.0x10^7 CFU/mL 이상,Bacillus subtilis,X,031-882-4541,미표시,없음,,경기도 여주시 북내면 여양3로 77-20
10,공시-3-5-097(공시-1-5-012),오가닉솔빛채(미생물),충해관리용,주식회사 지비텍,660-88-03132,2023.10.10 ~ 2026.10.09,국립순천대학교 산학협력단,"○ 빛이 강할 때 또는 기온이 높을 때를 피하여 아침, 저녁등 서늘할 때 살포하십시오 ○ 천연보호제는 보관중 미생물균체의 침전현상으로 충분리가 생기므로 사용전 반드시 흔들어서 사용하십시오 ○ 사용하고 남은제품은 잘 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관 ○ 잘못하여 섭취하였을 경우 억지로 구토시키지 말고 즉시 의사의 치료를 받으십시오",2007.10.10,"15,000원/500ml",Bacillus thuringiensis 1.0x10^7 CFU/mL 이상,Bacillus thuringiensis,X,031-882-4541,미표시,없음,,경기도 여주시 북내면 여양3로 77-20
16,공시-3-3-054,빛모음(미생물),토양개량 및 작물생육용,농업회사법인 흙살림바이오(주),303-81-24778,2024.04.27 ~ 2027.04.26,국립순천대학교 산학협력단,○ 단독사용을 권장합니다 ○ 한번 사용하고 남은 제품은 밀봉하여 보관하십시오 ○ 유통기간이 지난 제품은 사용하지 마십시오 ○ 직사광선을 피하고 건조하고 서늘한 곳에서 보관하십시오,2008.04.15,"25,000/500mL",Rhodopseudomonas palustris 1ⅹ10^6 cfu/mL이상,Rhodopseudomonas palustris,-,043-215-8179,미표시,없음,,충청북도 괴산군 불정면 한불로 1136
21,공시-2-3-131,대유쏘일닥터(토양미생물제제),토양개량 및 작물생육용,㈜대유,515-81-00326,2024.04.27 ~ 2027.04.26,강원대학교 산학협력단,- 토양 시비 시 작물에 직접 닿지 않도록 주의하여 주십시오. - 시비한 후 경운 또는 로터리 작업을 하여 토양과 골고루 섞이게 하는 것이 더욱 효과적입니다. - 사료나 식품 등과 구분하여 보관하여 주십시오. - 사용 후 남은 것은 공기가 통하지 않게 밀봉하여 어린아이의 손에 닿지 않는 서늘한 곳에 보관하여 주십시오. - 먹거나 마시지 마십시오.,2008.04.15,"25,000원/3kg, 35,000원/5kg",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/g *책임보험정보: 메리츠화재해상보험㈜_14060-36712,Bacillus subtilis,제 충북 괴산048-가-20301 호,02-556-6293(043-834-3012),표시,비료등록,비료등록제품,충청북도 괴산군 괴산읍 대제산단1길 12
26,공시-2-4-058,토리골드(미생물),병해관리용,㈜엠바이넥스,615-81-09229,2024.04.27 ~ 2027.04.26,강원대학교 산학협력단,- 물에 희석한 후 4시간 이내에 사용하십시오. - 살아있는 미생물 제제이므로 30℃ 이하의 서늘한 곳에서 보관하십시오. - 타 미생물 제품 또는 액비와 혼용하면 효과 감소를 초래할 수 있습니다. - 버섯류에 사용하지 마십시오.,2008.04.15,"10,000원/80g, 15,000원/100g, 30,000원/250g",*주성분의 종류 및 함량: Trichoderma harzianum 1.0×10^8 cfu/g *책임보험정보: 메리츠화재해상보험㈜_14750-819,Trichoderma harzianum,없음,055-761-4701,표시,,적용대상 작물명 및 효과: 마늘(흑색썩음균핵병) / 무처리구 대비 50% 이상 방제,경상남도 진주시 문산읍 월아산로950번길 25-3
30,공시-2-3-145,자연대로(토양미생물제제),토양개량 및 작물생육용,우림바이오㈜,643-85-01273,2024.07.15 ~ 2027.07.14,강원대학교 산학협력단,- 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 보관 중 미생물배양액의 침전 현상으로 층분리가 생길 수 있으므로 사용 전에는 반드시 흔들어 사용하십시오. - 제품을 먹거나 눈에 들어가지 않도록 하십시오. - 사용 후 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.,2010.07.15,"25,000원/500mL",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/mL *책임보험정보: 삼성화재해상보험㈜_82306393137000,Bacillus subtilis,제 전남 영광015-가-20301 호,031-294-1234(070-4244-2969),미표시,없음,,전라남도 영광군 백수읍 백수로 1215
35,공시-2-3-172,바이코나 입제(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,301-39-62646,2024.09.13 ~ 2027.09.12,강원대학교 산학협력단,- 건조한 냉암소에 보관하십시오. - 타 제품과의 혼용을 피하십시오. - 햇볕이 너무 강한 시간대에 살포를 피하십시오. - 개봉 후에는 가능한 모두 사용하십시오.,2008.07.07,"25,000원/5kg",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^7 cfu/g,Bacillus subtilis,제 충북 청주003-가-20301 호,043-212-2800,표시,비료등록,비료등록제품,충청북도 청주시 청원구 북이면 용계내추로 297-11
