species,genus,type,product_count,price_min,price_max,vendors,mfds_registered,mfds_eng_name,kacc_in_korea,kacc_korea_count,kacc_culture_temp,bacdive_found,bacdive_strain_count,bacdive_temp_optimal,bacdive_ph_optimal,bacdive_isolation,bacdive_country,is_cancelled,psis_strain_code,type_guess,categories,kacc_strain_count,mfds_row_count,mfds_brands,bacdive_sampled,bacdive_note,psis_registered,cancelled_brand_count,
Bacillus subtilis,Bacillus,bacteria,83,5000,100000,(유)아스틴; (주)신성미네랄; (주)잰153바이오텍; (주)한국치유농업연구소; MVP애그텍; ㈜내츄럴이앤지; ㈜누림; ㈜누보; ㈜대유; ㈜도프; ㈜마이크로자임; ㈜미산; ㈜비왕산업; ㈜아미텍; ㈜엠바이넥스; ㈜유피엘리미티드코리아; ㈜이노바텍; ㈜자연과미래; ㈜케이글로벌; ㈜태인; ㈜푸르네; ㈜한국바이오케미칼; ㈜현농; 고려바이오㈜; 고원㈜; 그린케어; 글로벌아그로㈜; 농업회사법인 ㈜진산; 농업회사법인 성주참외혁신지원단㈜; 농업회사법인 투엠바이오㈜; 농업회사법인 흙살림바이오(주); 농업회사법인㈜엘바이오텍; 대저농협유통센타; 더균(주); 바실리㈜; 바이엘크롭사이언스㈜; 에이치디바이오텍㈜; 에프엠씨코리아㈜; 우림바이오㈜; 제노아그로(주); 주식회사 지비텍; 주은바이오(주) 농업회사법인; 지앤엠주식회사; 채움바이오 영농조합법인; 코리아히록스; 코트그린 농업회사법인㈜; 태리온㈜; 투엠바이아연구소; 팔마미생물㈜; 팜프랜드; 피지피알(PGPR); 해성씨드플러스㈜ 농업회사법인; 현진바이오,TRUE,Bacillus subtilis CJ-9; Bacillus subtilis DBB1501; Bacillus subtilis EW42-1; Bacillus subtilis GB-0365; Bacillus subtilis KB 401,TRUE,48,28; 28-37; 30; 30~40; 37,TRUE,100,22-45,6,"spacecraft-associated clean room class ISO 8, Herschel Space Observatory; Potato tubers; boiled hay, 1940s",Netherlands; Japan; Russia,,,bacteria,병해관리용; 병해충관리용; 작물생육용; 충해관리용; 토양개량 및 작물생육용; 토양개량용,64,463,그린올; 노스팟; 바이오노스팟; 바이오씰러스; 바이오탑세이버; 세레나데맥스; 세레나데아소; 슈팅스타; 씰러스; 재노탄,30,,,0,
Bacillus velezensis,Bacillus,bacteria,30,10000,77000,SJ인터내셔날; ㈜남보; ㈜네츄럴그린; ㈜누림; ㈜대원화학; ㈜마이크로자임; ㈜비비코리아; ㈜엠바이넥스; ㈜엠씨바이오텍; ㈜천지인바이오텍; ㈜팜한농; ㈜푸르네; ㈜현농; 고려바이오㈜; 광양시청; 글로벌아그로㈜; 농업회사법인 ㈜와이앤바이오; 농업회사법인 투엠바이오㈜; 더균(주); 바실리㈜; 보란파마; 에프엠씨코리아㈜; 우림바이오㈜,FALSE,,TRUE,41,28; 30; 35-40; 37; 40-45,TRUE,4,15-45,02월 10일,Bee Pollen; rice rhizosphere soil; plant-pathogen infested soil and its organic material,Poland; Spain; Republic of Korea,,,bacteria,병해관리용; 병해충관리용; 작물생육용; 토양개량 및 작물생육용,50,0,,4,,,0,
Bacillus thuringiensis,Bacillus,bacteria,29,10,35000,(주)잰153바이오텍; FM애그텍; ㈜남보; ㈜농협케미컬; ㈜누림; ㈜대유; ㈜씨엠씨코리아; ㈜에코파인; ㈜엔비아그로; ㈜유피엘리미티드코리아; ㈜융전; ㈜팜한농; ㈜한마음생명산업; ㈜한얼싸이언스; ㈜현농; 가평군농업기술센터; 고려바이오㈜; 농업회사법인 투엠바이오㈜; 농업회사법인 흙살림바이오(주); 순창군농업기술센터; 순천시농업기술센터; 주식회사 지비텍,TRUE,Bacillus thuringiensis var. kurstaki,TRUE,9,28; 30,TRUE,91,30-37,,silkworm litter; <I>Spodoptera litura</I> on sweetpotato; <I>Dendrolimus sibericus</I>,USA; USSR; China,,,bacteria,병해충관리용; 충해관리용,13,27,그물망; 스콜피온케이,30,,,0,
Bacillus amyloliquefaciens,Bacillus,bacteria,27,5000,77000,(유)한터; MVP애그텍; ㈜남보; ㈜대덕바이오; ㈜대유; ㈜비아이지; ㈜세화테크; ㈜씨엠씨코리아; ㈜엔비아그로; ㈜이노바텍; ㈜조비; ㈜천지인바이오텍; ㈜팜한농; ㈜한국바이오케미칼; ㈜한텍; 고려바이오㈜; 글로벌아그로㈜; 농업회사법인㈜엘바이오텍; 보란파마; 에스비위드크롭스㈜; 영농조합법인 광수; 코트그린 농업회사법인㈜; 효성오앤비㈜,TRUE,Bacillus amyloliquefaciens D747; Bacillus amyloliquefaciens KBC1121; Bacillus amyloliquefaciens MBI600,TRUE,21,28; 30; 37,TRUE,22,30-45,6,soil; Industry; Human drain,Sweden; Germany; United Kingdom,,,bacteria,병해관리용; 병해충관리용; 작물생육용; 토양개량 및 작물생육용,25,125,세리펠; 에코샷; 청마름,22,,,0,
Beauveria bassiana,Beauveria,fungi,17,13000,50000,㈜고려바이오연구소; ㈜대유; ㈜솔붐; ㈜에코비즈넷; ㈜융전; ㈜이지; ㈜팜한농; ㈜한국바이오케미칼; ㈜한마음생명산업; 글로벌아그로㈜,FALSE,,TRUE,14,24; 25,FALSE,0,,,,,,,fungi,병해충관리용; 충해관리용,16,0,,,skipped (fungi/non-bacterial),,0,
Paenibacillus polymyxa,Paenibacillus,bacteria,13,10000,60000,SJ인터내셔날; ㈜누림; ㈜씨엠씨코리아; ㈜엠바이넥스; ㈜이노바텍; ㈜팜한농; 고려바이오㈜; 우림바이오㈜; 제일농산친환경영농조합법인; 주식회사 지비텍; 천용아그로; 팜프랜드,TRUE,Paenibacillus polymyxa AC-1; Paenibacillus polymyxa ac-1,TRUE,3,28; 28~30; 30,TRUE,37,22-45,6,garden soil; Human blood; field soil,Germany; Sweden; Japan,,,bacteria,병해관리용; 작물생육용; 토양개량 및 작물생육용,5,40,바이오탑시드; 탑시드,30,,,0,
Trichoderma harzianum,Trichoderma,fungi,12,4000,220000,㈜누림; ㈜대유; ㈜에코윈; ㈜엠바이넥스; ㈜오비트; ㈜케이엔텍; ㈜케이케이티생명자원개발연구소; 그린케어; 코퍼트㈜; 흥농아그로,TRUE,Trichoderma harzianum YC459,TRUE,28,20~30; 25,FALSE,0,,,,,,,fungi,병해관리용; 병해충관리용; 토양개량 및 작물생육용,28,6,토리,,skipped (fungi/non-bacterial),,0,
Bacillus licheniformis,Bacillus,bacteria,10,7000,42000,㈜남보; ㈜누림; ㈜대유; ㈜현농; 에프엠씨코리아㈜; 팔마미생물㈜,FALSE,,TRUE,7,28; 30~40; 37,TRUE,100,22-55,6,"spacecraft-associated clean room class ISO 8, Herschel Space Observatory; soil; various rooms at TAS, Cannes",Netherlands; Germany; France,,,bacteria,병해관리용; 병해충관리용; 토양개량 및 작물생육용,7,0,,30,,,0,
Bacillus methylotrophicus,Bacillus,bacteria,5,11000,20000,(주)잰153바이오텍; ㈜엠바이넥스; ㈜한얼싸이언스; 그린케어; 글로벌아그로㈜,FALSE,,FALSE,0,,TRUE,4,15-45,02월 10일,Bee Pollen; rice rhizosphere soil; plant-pathogen infested soil and its organic material,Poland; Spain; Republic of Korea,,,bacteria,병해관리용; 병해충관리용; 충해관리용,0,0,,4,,,0,
Lactobacillus plantarum,Lactobacillus,bacteria,4,1000,42000,㈜쎌바이오텍; 코리아히록스; 팔마미생물㈜,FALSE,,FALSE,0,,TRUE,64,10-45,,"Human, Stool; Food ?; Sour dough [6476]",France; Sweden; United Kingdom,,,bacteria,토양개량 및 작물생육용,0,0,,30,,,0,
