상표명,세균제위험,곰팡이제위험,계열,일반명
가가방,🟡,🔴,디티오카바메이트,Mancozeb
가드너,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Difenoconazole
가드랑,🔴,🟡,항생제계(세균표적),Kasugamycin
가디온,🟡,🔴,SDHI,Thifluzamide
가루자비,🟡,🔴,SDHI,Boscalid+Metrafenone
가벤다,🟢,🔴,벤지미다졸(MBC),Carbendazim
가스가민,🔴,🟡,항생제계(세균표적),Kasugamycin
가스란,🔴,🔴,동제(구리),Copper oxychloride+Kasugamycin
가이드,🟡,🔴,SDHI,Boscalid+Kresoxim-methyl
가지란,🟢,🔴,벤지미다졸(MBC),Etridiazole+Thiophanate-methyl
경농옥시동,🔴,🔴,동제(구리),Oxine-copper
경농쿠퍼,🔴,🔴,동제(구리),Copper hydroxide
경농팜닥터,🟡,🔴,SDHI,Fluxapyroxad+Kresoxim-methyl
경탄,🟡,🔴,스트로빌루린(QoI),Chlorothalonil+Kresoxim-methyl
고속탄,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Tebuconazole
고수,🔴,🟡,항생제계(세균표적),Oxolinic acid
고운손,🔴,🔴,동제(구리),Copper hydroxide
고추탄,🔴,🔴,항생제계(세균표적),Carbendazim+Kasugamycin
골드마스터,🟢,🔴,스트로빌루린(QoI),Pyraclostrobin
골드문,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Metalaxyl
골드타임,🟡,🔴,SDHI,Penthiopyrad
골든벨,🔴,🔴,항생제계(세균표적),Kasugamycin+Thiophanate-methyl
골든볼,🟡,🔴,SDHI,Penthiopyrad
골든키,🟢,🔴,스트로빌루린(QoI),Amisulbrom+Famoxadone
골자비,🟡,🔴,벤지미다졸(MBC),Diethofencarb+Thiophanate-methyl
공중전,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Tiadinil
과수탄,🟡,🔴,트리아졸·이미다졸(DMI),Captan+Flutriafol
과채탄,🟢,🔴,벤지미다졸(MBC),Thiophanate-methyl
광야,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Tefluthrin
구급탄,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
굳샷,🟢,🔴,항진균항생제,Etridiazole+Polyoxin D
굳케어,🟡,🔴,디티오카바메이트,Mancozeb+Oxadixyl
굳타임,🟡,🔴,벤지미다졸(MBC),Thiophanate-methyl+Triflumizole
굿초이스,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Tebuconazole
귀품,🟡,🔴,트리아졸·이미다졸(DMI),Flusilazole+Kresoxim-methyl
규네스타,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Propiconazole
규네왕,🟡,🔴,스트로빌루린(QoI),Dithianon+Pyraclostrobin
규네조아,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Tetraconazole
균가네,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole
균가이버,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
균가이버골드,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
균다이,🟢,🔴,벤지미다졸(MBC),Thiophanate-methyl
균닥터,🟡,🔴,트리아졸·이미다졸(DMI),Tebuconazole
균디스,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
균마금,🟡,🔴,디티오카바메이트,Chlorothalonil+Thiram
균마기,🟡,🔴,트리아졸·이미다졸(DMI),Hexaconazole+Prochloraz
균마기골드,🔴,🔴,동제(구리),Prochloraz-copper chloride+Tebuconazole
균마름,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Thiophanate-methyl
균만세,🟢,🔴,벤지미다졸(MBC),Thiophanate-methyl
균매트,🟡,🔴,트리아졸·이미다졸(DMI),Metconazole
